2017-10-24 09:38:55.834330: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX
WARNING:tensorflow:From train.py:163: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
INFO:tensorflow:Training from step: 1 
INFO:tensorflow:Step #103: rate 0.001000, accuracy 18.0%, cross entropy 2.400481
INFO:tensorflow:Step #104: rate 0.001000, accuracy 17.0%, cross entropy 2.307669
INFO:tensorflow:Step #105: rate 0.001000, accuracy 17.0%, cross entropy 2.360713
INFO:tensorflow:Step #106: rate 0.001000, accuracy 22.0%, cross entropy 2.365954
INFO:tensorflow:Step #107: rate 0.001000, accuracy 16.0%, cross entropy 2.412823
INFO:tensorflow:Step #108: rate 0.001000, accuracy 20.0%, cross entropy 2.398150
INFO:tensorflow:Step #109: rate 0.001000, accuracy 16.0%, cross entropy 2.353480
INFO:tensorflow:Step #110: rate 0.001000, accuracy 16.0%, cross entropy 2.384782
INFO:tensorflow:Step #111: rate 0.001000, accuracy 13.0%, cross entropy 2.421741
INFO:tensorflow:Step #112: rate 0.001000, accuracy 18.0%, cross entropy 2.347677
INFO:tensorflow:Step #113: rate 0.001000, accuracy 14.0%, cross entropy 2.390950
INFO:tensorflow:Step #114: rate 0.001000, accuracy 17.0%, cross entropy 2.435433
INFO:tensorflow:Step #115: rate 0.001000, accuracy 20.0%, cross entropy 2.405751
INFO:tensorflow:Step #116: rate 0.001000, accuracy 17.0%, cross entropy 2.373143
INFO:tensorflow:Step #117: rate 0.001000, accuracy 15.0%, cross entropy 2.403614
INFO:tensorflow:Step #118: rate 0.001000, accuracy 14.0%, cross entropy 2.429294
INFO:tensorflow:Step #119: rate 0.001000, accuracy 10.0%, cross entropy 2.413015
INFO:tensorflow:Step #120: rate 0.001000, accuracy 12.0%, cross entropy 2.426977
INFO:tensorflow:Step #121: rate 0.001000, accuracy 20.0%, cross entropy 2.375734
INFO:tensorflow:Step #122: rate 0.001000, accuracy 18.0%, cross entropy 2.361796
INFO:tensorflow:Step #123: rate 0.001000, accuracy 19.0%, cross entropy 2.408216
INFO:tensorflow:Step #124: rate 0.001000, accuracy 14.0%, cross entropy 2.364502
INFO:tensorflow:Step #125: rate 0.001000, accuracy 17.0%, cross entropy 2.340946
INFO:tensorflow:Step #126: rate 0.001000, accuracy 18.0%, cross entropy 2.332110
INFO:tensorflow:Step #127: rate 0.001000, accuracy 16.0%, cross entropy 2.381465
INFO:tensorflow:Step #128: rate 0.001000, accuracy 18.0%, cross entropy 2.353498
INFO:tensorflow:Step #129: rate 0.001000, accuracy 14.0%, cross entropy 2.349037
INFO:tensorflow:Step #130: rate 0.001000, accuracy 16.0%, cross entropy 2.392067
INFO:tensorflow:Step #131: rate 0.001000, accuracy 16.0%, cross entropy 2.425411
INFO:tensorflow:Step #132: rate 0.001000, accuracy 15.0%, cross entropy 2.464031
INFO:tensorflow:Step #133: rate 0.001000, accuracy 15.0%, cross entropy 2.398915
INFO:tensorflow:Step #134: rate 0.001000, accuracy 15.0%, cross entropy 2.377031
INFO:tensorflow:Step #135: rate 0.001000, accuracy 16.0%, cross entropy 2.411243
INFO:tensorflow:Step #136: rate 0.001000, accuracy 15.0%, cross entropy 2.418780
INFO:tensorflow:Step #137: rate 0.001000, accuracy 17.0%, cross entropy 2.416488
INFO:tensorflow:Step #138: rate 0.001000, accuracy 19.0%, cross entropy 2.440699
INFO:tensorflow:Step #139: rate 0.001000, accuracy 18.0%, cross entropy 2.375889
INFO:tensorflow:Step #140: rate 0.001000, accuracy 18.0%, cross entropy 2.377299
INFO:tensorflow:Step #141: rate 0.001000, accuracy 15.0%, cross entropy 2.388025
INFO:tensorflow:Step #142: rate 0.001000, accuracy 19.0%, cross entropy 2.427626
INFO:tensorflow:Step #143: rate 0.001000, accuracy 15.0%, cross entropy 2.446251
INFO:tensorflow:Step #144: rate 0.001000, accuracy 21.0%, cross entropy 2.339652
INFO:tensorflow:Step #145: rate 0.001000, accuracy 10.0%, cross entropy 2.465962
INFO:tensorflow:Step #146: rate 0.001000, accuracy 19.0%, cross entropy 2.290768
INFO:tensorflow:Step #147: rate 0.001000, accuracy 18.0%, cross entropy 2.386059
INFO:tensorflow:Step #148: rate 0.001000, accuracy 16.0%, cross entropy 2.356083
INFO:tensorflow:Step #149: rate 0.001000, accuracy 19.0%, cross entropy 2.394490
INFO:tensorflow:Step #150: rate 0.001000, accuracy 14.0%, cross entropy 2.399908
INFO:tensorflow:Step #151: rate 0.001000, accuracy 21.0%, cross entropy 2.366335
INFO:tensorflow:Step #152: rate 0.001000, accuracy 21.0%, cross entropy 2.312047
INFO:tensorflow:Step #153: rate 0.001000, accuracy 22.0%, cross entropy 2.341321
INFO:tensorflow:Step #154: rate 0.001000, accuracy 18.0%, cross entropy 2.352702
INFO:tensorflow:Step #155: rate 0.001000, accuracy 19.0%, cross entropy 2.393479
INFO:tensorflow:Step #156: rate 0.001000, accuracy 13.0%, cross entropy 2.456846
INFO:tensorflow:Step #157: rate 0.001000, accuracy 18.0%, cross entropy 2.301219
INFO:tensorflow:Step #158: rate 0.001000, accuracy 15.0%, cross entropy 2.414836
INFO:tensorflow:Step #159: rate 0.001000, accuracy 20.0%, cross entropy 2.352215
INFO:tensorflow:Step #160: rate 0.001000, accuracy 23.0%, cross entropy 2.309583
INFO:tensorflow:Step #161: rate 0.001000, accuracy 16.0%, cross entropy 2.383494
INFO:tensorflow:Step #162: rate 0.001000, accuracy 16.0%, cross entropy 2.399123
INFO:tensorflow:Step #163: rate 0.001000, accuracy 14.0%, cross entropy 2.377096
INFO:tensorflow:Step #164: rate 0.001000, accuracy 20.0%, cross entropy 2.286047
INFO:tensorflow:Step #165: rate 0.001000, accuracy 16.0%, cross entropy 2.397874
INFO:tensorflow:Step #166: rate 0.001000, accuracy 17.0%, cross entropy 2.404886
INFO:tensorflow:Step #167: rate 0.001000, accuracy 19.0%, cross entropy 2.407629
INFO:tensorflow:Step #168: rate 0.001000, accuracy 10.0%, cross entropy 2.438067
INFO:tensorflow:Step #169: rate 0.001000, accuracy 21.0%, cross entropy 2.324720
INFO:tensorflow:Step #170: rate 0.001000, accuracy 21.0%, cross entropy 2.350875
INFO:tensorflow:Step #171: rate 0.001000, accuracy 21.0%, cross entropy 2.304732
INFO:tensorflow:Step #172: rate 0.001000, accuracy 16.0%, cross entropy 2.377799
INFO:tensorflow:Step #173: rate 0.001000, accuracy 13.0%, cross entropy 2.350868
INFO:tensorflow:Step #174: rate 0.001000, accuracy 13.0%, cross entropy 2.366140
INFO:tensorflow:Step #175: rate 0.001000, accuracy 20.0%, cross entropy 2.327319
INFO:tensorflow:Step #176: rate 0.001000, accuracy 20.0%, cross entropy 2.287450
INFO:tensorflow:Step #177: rate 0.001000, accuracy 17.0%, cross entropy 2.264874
INFO:tensorflow:Step #178: rate 0.001000, accuracy 18.0%, cross entropy 2.348761
INFO:tensorflow:Step #179: rate 0.001000, accuracy 31.0%, cross entropy 2.305790
INFO:tensorflow:Step #180: rate 0.001000, accuracy 21.0%, cross entropy 2.453803
INFO:tensorflow:Step #181: rate 0.001000, accuracy 18.0%, cross entropy 2.292930
INFO:tensorflow:Step #182: rate 0.001000, accuracy 18.0%, cross entropy 2.450105
INFO:tensorflow:Step #183: rate 0.001000, accuracy 14.0%, cross entropy 2.408807
INFO:tensorflow:Step #184: rate 0.001000, accuracy 15.0%, cross entropy 2.395417
INFO:tensorflow:Step #185: rate 0.001000, accuracy 25.0%, cross entropy 2.314507
INFO:tensorflow:Step #186: rate 0.001000, accuracy 21.0%, cross entropy 2.368083
INFO:tensorflow:Step #187: rate 0.001000, accuracy 22.0%, cross entropy 2.300054
INFO:tensorflow:Step #188: rate 0.001000, accuracy 19.0%, cross entropy 2.430007
INFO:tensorflow:Step #189: rate 0.001000, accuracy 25.0%, cross entropy 2.315348
INFO:tensorflow:Step #190: rate 0.001000, accuracy 18.0%, cross entropy 2.376916
INFO:tensorflow:Step #191: rate 0.001000, accuracy 19.0%, cross entropy 2.398749
INFO:tensorflow:Step #192: rate 0.001000, accuracy 19.0%, cross entropy 2.337490
INFO:tensorflow:Step #193: rate 0.001000, accuracy 15.0%, cross entropy 2.343356
INFO:tensorflow:Step #194: rate 0.001000, accuracy 19.0%, cross entropy 2.330199
INFO:tensorflow:Step #195: rate 0.001000, accuracy 17.0%, cross entropy 2.395144
INFO:tensorflow:Step #196: rate 0.001000, accuracy 23.0%, cross entropy 2.349715
INFO:tensorflow:Step #197: rate 0.001000, accuracy 16.0%, cross entropy 2.441447
INFO:tensorflow:Step #198: rate 0.001000, accuracy 22.0%, cross entropy 2.382530
INFO:tensorflow:Step #199: rate 0.001000, accuracy 16.0%, cross entropy 2.433792
INFO:tensorflow:Step #200: rate 0.001000, accuracy 19.0%, cross entropy 2.404240
INFO:tensorflow:Saving to "/tmp/speech_commands_train/conv.ckpt-200"
INFO:tensorflow:Step #201: rate 0.001000, accuracy 28.0%, cross entropy 2.306325
INFO:tensorflow:Step #202: rate 0.001000, accuracy 19.0%, cross entropy 2.310517
INFO:tensorflow:Step #203: rate 0.001000, accuracy 23.0%, cross entropy 2.288464
INFO:tensorflow:Step #204: rate 0.001000, accuracy 26.0%, cross entropy 2.320124
INFO:tensorflow:Step #205: rate 0.001000, accuracy 18.0%, cross entropy 2.394652
INFO:tensorflow:Step #206: rate 0.001000, accuracy 18.0%, cross entropy 2.320432
INFO:tensorflow:Step #207: rate 0.001000, accuracy 26.0%, cross entropy 2.320727
INFO:tensorflow:Step #208: rate 0.001000, accuracy 14.0%, cross entropy 2.373339
INFO:tensorflow:Step #209: rate 0.001000, accuracy 16.0%, cross entropy 2.429159
INFO:tensorflow:Step #210: rate 0.001000, accuracy 16.0%, cross entropy 2.317853
INFO:tensorflow:Step #211: rate 0.001000, accuracy 19.0%, cross entropy 2.312268
INFO:tensorflow:Step #212: rate 0.001000, accuracy 16.0%, cross entropy 2.360767
INFO:tensorflow:Step #213: rate 0.001000, accuracy 22.0%, cross entropy 2.310792
INFO:tensorflow:Step #214: rate 0.001000, accuracy 17.0%, cross entropy 2.364736
INFO:tensorflow:Step #215: rate 0.001000, accuracy 18.0%, cross entropy 2.380273
INFO:tensorflow:Step #216: rate 0.001000, accuracy 28.0%, cross entropy 2.324527
INFO:tensorflow:Step #217: rate 0.001000, accuracy 18.0%, cross entropy 2.383169
INFO:tensorflow:Step #218: rate 0.001000, accuracy 18.0%, cross entropy 2.279319
INFO:tensorflow:Step #219: rate 0.001000, accuracy 23.0%, cross entropy 2.336078
INFO:tensorflow:Step #220: rate 0.001000, accuracy 20.0%, cross entropy 2.273850
INFO:tensorflow:Step #221: rate 0.001000, accuracy 27.0%, cross entropy 2.301342
INFO:tensorflow:Step #222: rate 0.001000, accuracy 22.0%, cross entropy 2.329255
INFO:tensorflow:Step #223: rate 0.001000, accuracy 21.0%, cross entropy 2.302853
INFO:tensorflow:Step #224: rate 0.001000, accuracy 27.0%, cross entropy 2.317775
INFO:tensorflow:Step #225: rate 0.001000, accuracy 21.0%, cross entropy 2.430900
INFO:tensorflow:Step #226: rate 0.001000, accuracy 27.0%, cross entropy 2.264067
INFO:tensorflow:Step #227: rate 0.001000, accuracy 21.0%, cross entropy 2.321494
INFO:tensorflow:Step #228: rate 0.001000, accuracy 26.0%, cross entropy 2.347624
INFO:tensorflow:Step #229: rate 0.001000, accuracy 25.0%, cross entropy 2.358999
INFO:tensorflow:Step #230: rate 0.001000, accuracy 20.0%, cross entropy 2.403628
INFO:tensorflow:Step #231: rate 0.001000, accuracy 24.0%, cross entropy 2.359731
INFO:tensorflow:Step #232: rate 0.001000, accuracy 23.0%, cross entropy 2.308384
INFO:tensorflow:Step #233: rate 0.001000, accuracy 18.0%, cross entropy 2.354273
INFO:tensorflow:Step #234: rate 0.001000, accuracy 21.0%, cross entropy 2.261528
INFO:tensorflow:Step #235: rate 0.001000, accuracy 15.0%, cross entropy 2.415674
INFO:tensorflow:Step #236: rate 0.001000, accuracy 24.0%, cross entropy 2.341691
INFO:tensorflow:Step #237: rate 0.001000, accuracy 18.0%, cross entropy 2.388909
INFO:tensorflow:Step #238: rate 0.001000, accuracy 13.0%, cross entropy 2.321140
INFO:tensorflow:Step #239: rate 0.001000, accuracy 21.0%, cross entropy 2.341254
INFO:tensorflow:Step #240: rate 0.001000, accuracy 15.0%, cross entropy 2.422391
INFO:tensorflow:Step #241: rate 0.001000, accuracy 16.0%, cross entropy 2.373689
INFO:tensorflow:Step #242: rate 0.001000, accuracy 22.0%, cross entropy 2.268702
INFO:tensorflow:Step #243: rate 0.001000, accuracy 22.0%, cross entropy 2.337383
INFO:tensorflow:Step #244: rate 0.001000, accuracy 13.0%, cross entropy 2.314862
INFO:tensorflow:Step #245: rate 0.001000, accuracy 23.0%, cross entropy 2.292396
INFO:tensorflow:Step #246: rate 0.001000, accuracy 25.0%, cross entropy 2.190162
INFO:tensorflow:Step #247: rate 0.001000, accuracy 18.0%, cross entropy 2.334021
INFO:tensorflow:Step #248: rate 0.001000, accuracy 24.0%, cross entropy 2.285252
INFO:tensorflow:Step #249: rate 0.001000, accuracy 24.0%, cross entropy 2.275895
INFO:tensorflow:Step #250: rate 0.001000, accuracy 25.0%, cross entropy 2.232173
INFO:tensorflow:Step #251: rate 0.001000, accuracy 17.0%, cross entropy 2.366004
INFO:tensorflow:Step #252: rate 0.001000, accuracy 22.0%, cross entropy 2.271214
INFO:tensorflow:Step #253: rate 0.001000, accuracy 22.0%, cross entropy 2.290513
INFO:tensorflow:Step #254: rate 0.001000, accuracy 22.0%, cross entropy 2.284251
INFO:tensorflow:Step #255: rate 0.001000, accuracy 21.0%, cross entropy 2.287500
INFO:tensorflow:Step #256: rate 0.001000, accuracy 13.0%, cross entropy 2.305691
INFO:tensorflow:Step #257: rate 0.001000, accuracy 16.0%, cross entropy 2.344671
INFO:tensorflow:Step #258: rate 0.001000, accuracy 23.0%, cross entropy 2.228732
INFO:tensorflow:Step #259: rate 0.001000, accuracy 21.0%, cross entropy 2.355074
INFO:tensorflow:Step #260: rate 0.001000, accuracy 21.0%, cross entropy 2.388740
INFO:tensorflow:Step #261: rate 0.001000, accuracy 21.0%, cross entropy 2.317887
INFO:tensorflow:Step #262: rate 0.001000, accuracy 23.0%, cross entropy 2.297354
INFO:tensorflow:Step #263: rate 0.001000, accuracy 21.0%, cross entropy 2.352150
INFO:tensorflow:Step #264: rate 0.001000, accuracy 28.0%, cross entropy 2.245302
INFO:tensorflow:Step #265: rate 0.001000, accuracy 20.0%, cross entropy 2.310644
INFO:tensorflow:Step #266: rate 0.001000, accuracy 25.0%, cross entropy 2.239072
INFO:tensorflow:Step #267: rate 0.001000, accuracy 20.0%, cross entropy 2.300780
INFO:tensorflow:Step #268: rate 0.001000, accuracy 18.0%, cross entropy 2.394007
INFO:tensorflow:Step #269: rate 0.001000, accuracy 26.0%, cross entropy 2.230032
INFO:tensorflow:Step #270: rate 0.001000, accuracy 20.0%, cross entropy 2.279451
INFO:tensorflow:Step #271: rate 0.001000, accuracy 24.0%, cross entropy 2.292551
INFO:tensorflow:Step #272: rate 0.001000, accuracy 16.0%, cross entropy 2.389907
INFO:tensorflow:Step #273: rate 0.001000, accuracy 21.0%, cross entropy 2.269623
INFO:tensorflow:Step #274: rate 0.001000, accuracy 18.0%, cross entropy 2.278626
INFO:tensorflow:Step #275: rate 0.001000, accuracy 19.0%, cross entropy 2.319395
INFO:tensorflow:Step #276: rate 0.001000, accuracy 25.0%, cross entropy 2.211429
INFO:tensorflow:Step #277: rate 0.001000, accuracy 22.0%, cross entropy 2.291953
INFO:tensorflow:Step #278: rate 0.001000, accuracy 22.0%, cross entropy 2.261536
INFO:tensorflow:Step #279: rate 0.001000, accuracy 22.0%, cross entropy 2.390806
INFO:tensorflow:Step #280: rate 0.001000, accuracy 13.0%, cross entropy 2.316029
INFO:tensorflow:Step #281: rate 0.001000, accuracy 25.0%, cross entropy 2.218272
INFO:tensorflow:Step #282: rate 0.001000, accuracy 20.0%, cross entropy 2.330216
INFO:tensorflow:Step #283: rate 0.001000, accuracy 18.0%, cross entropy 2.237490
INFO:tensorflow:Step #284: rate 0.001000, accuracy 31.0%, cross entropy 2.109116
INFO:tensorflow:Step #285: rate 0.001000, accuracy 15.0%, cross entropy 2.338460
INFO:tensorflow:Step #286: rate 0.001000, accuracy 21.0%, cross entropy 2.317515
INFO:tensorflow:Step #287: rate 0.001000, accuracy 14.0%, cross entropy 2.382854
INFO:tensorflow:Step #288: rate 0.001000, accuracy 25.0%, cross entropy 2.267828
INFO:tensorflow:Step #289: rate 0.001000, accuracy 26.0%, cross entropy 2.242893
INFO:tensorflow:Step #290: rate 0.001000, accuracy 17.0%, cross entropy 2.297655
INFO:tensorflow:Step #291: rate 0.001000, accuracy 18.0%, cross entropy 2.260085
INFO:tensorflow:Step #292: rate 0.001000, accuracy 23.0%, cross entropy 2.412060
INFO:tensorflow:Step #293: rate 0.001000, accuracy 21.0%, cross entropy 2.272201
